*	NAME	s	MX	dMX	MY	dMY
$	%s	%le	%le	%le	%le	%le
BR3.DHZ2L4-BR3.UES1L3	5.467	1.0716356	0.14041325	0.15623519	0.037823282
BR3.DHZ2L4-BR3.UES2L3	15.285	3.5233198	0.15181685	-0.15273484	0.063227656
BR3.DHZ2L4-BR3.UES3L3	25.103	3.4574801	0.11141486	0.04530606	0.040900707
BR3.DHZ2L4-BR3.UES4L3	34.92	-2.587921	0.12068816	-0.030595951	0.05720026
BR3.DHZ2L4-BR3.UES5L3	44.738	-2.9034121	0.16724639	0.012379837	0.031218913
BR3.DHZ2L4-BR3.UES6L3	54.555	3.0739038	0.16428356	0.085762599	0.061691701
BR3.DHZ2L4-BR3.UES7L3	64.373	2.278676	0.11678731	-0.070937584	0.052472204
BR3.DHZ2L4-BR3.UES8L3	74.19	-3.422938	0.094086272	-0.14379046	0.023879281
BR3.DHZ2L4-BR3.UES9L3	84.008	-1.663719	0.13954179	0.11117931	0.024999985
BR3.DHZ2L4-BR3.UES10L3	93.825	2.4967417	0.	0.12415267	0.090242023
BR3.DHZ2L4-BR3.UES11L3	103.643	1.0161212	0.18608704	-0.21366863	0.045753503
BR3.DHZ2L4-BR3.UES12L3	113.46	-3.964824	0.11756803	-0.060651647	0.034534752
BR3.DHZ2L4-BR3.UES13L3	123.278	-0.29197943	0.15601119	0.27742664	0.019466057
BR3.DHZ2L4-BR3.UES14L3	133.095	3.8231965	0.17407994	-0.0069706558	0.058798489
BR3.DHZ2L4-BR3.UES15L3	142.913	-0.40742421	0.1162464	-0.11813435	0.02670863
BR3.DHZ2L4-BR3.UES16L3	152.73	-3.8134613	0.085043763	0.096531986	0.039940032
BR3.DHZ3L4-BR3.UES1L3	5.467	-3.5219875	0.038317058	0.37621207	0.03308146
BR3.DHZ3L4-BR3.UES2L3	15.285	0.9990216	0.046456104	-0.024490228	0.0053876876
BR3.DHZ3L4-BR3.UES3L3	25.103	3.538803	0.058041731	-0.369662	0.013873824
BR3.DHZ3L4-BR3.UES4L3	34.92	3.0823675	0.03730268	-0.097113949	0.019286489
BR3.DHZ3L4-BR3.UES5L3	44.738	-2.302534	0.040296192	0.34118604	0.013719433
BR3.DHZ3L4-BR3.UES6L3	54.555	-2.5776162	0.046087102	0.034910898	0.019552527
BR3.DHZ3L4-BR3.UES7L3	64.373	2.7302847	0.	-0.31819357	0.013234196
BR3.DHZ3L4-BR3.UES8L3	74.19	2.0472662	0.030008894	-0.046181153	0.016792691
BR3.DHZ3L4-BR3.UES9L3	84.008	-3.1717639	0.044559828	0.3431605	0.017792453
BR3.DHZ3L4-BR3.UES10L3	93.825	-1.7648926	0.	-0.012442614	0.
BR3.DHZ3L4-BR3.UES11L3	103.643	3.243406	0.	-0.30812497	0.01361048
BR3.DHZ3L4-BR3.UES12L3	113.46	0.83096404	0.076383084	-0.043829722	0.0069350738
BR3.DHZ3L4-BR3.UES13L3	123.278	-3.5630069	0.039312337	0.3213262	0.010225673
BR3.DHZ3L4-BR3.UES14L3	133.095	-0.22205111	0.069836964	0.017458436	0.0090344132
BR3.DHZ3L4-BR3.UES15L3	142.913	3.6025135	0.06398086	-0.33385522	0.0061263103
BR3.DHZ3L4-BR3.UES16L3	152.73	-0.40609104	0.028337464	-0.022175669	0.011143157
BR3.DHZ4L4-BR3.UES1L3	5.467	-0.37855222	0.039944981	-0.11246693	0.0075475683
BR3.DHZ4L4-BR3.UES2L3	15.285	-3.4394451	0.058064978	0.054254565	0.0097141681
BR3.DHZ4L4-BR3.UES3L3	25.103	1.0985262	0.031801161	-0.041609469	0.0066438011
BR3.DHZ4L4-BR3.UES4L3	34.92	3.5842947	0.029617156	-0.097533388	0.012556281
BR3.DHZ4L4-BR3.UES5L3	44.738	3.1442246	0.052902652	-0.013849297	0.017504686
BR3.DHZ4L4-BR3.UES6L3	54.555	-2.3829942	0.05758707	0.00053524468	0.0045774906
BR3.DHZ4L4-BR3.UES7L3	64.373	-2.5860225	0.041315268	0.043284376	0.01098986
BR3.DHZ4L4-BR3.UES8L3	74.19	2.8611509	0.027689435	0.07152243	0.021753258
BR3.DHZ4L4-BR3.UES9L3	84.008	2.1432643	0.044430447	-0.072908125	0.012401415
BR3.DHZ4L4-BR3.UES10L3	93.825	-2.7792989	0.	-0.070066845	0.02393023
BR3.DHZ4L4-BR3.UES11L3	103.643	-1.4983175	0.	0.13361113	0.013663638
BR3.DHZ4L4-BR3.UES12L3	113.46	3.5736119	0.038544564	0.066845396	0.016000648
BR3.DHZ4L4-BR3.UES13L3	123.278	0.91506859	0.050094258	-0.19718961	0.01074262
BR3.DHZ4L4-BR3.UES14L3	133.095	-3.486213	0.	-0.025886824	0.011212007
BR3.DHZ4L4-BR3.UES15L3	142.913	-0.22848277	0.039665462	0.062562167	0.010678133
BR3.DHZ4L4-BR3.UES16L3	152.73	3.6506355	0.032193643	-0.0077448326	0.018616326
BR3.DHZ5L4-BR3.UES1L3	5.467	3.6208185	0.030349747	-0.37608134	0.012601831
BR3.DHZ5L4-BR3.UES2L3	15.285	-0.39618409	0.036780281	0.031555828	0.0095643658
BR3.DHZ5L4-BR3.UES3L3	25.103	-3.6824826	0.055880267	0.38568973	0.0073226259
BR3.DHZ5L4-BR3.UES4L3	34.92	1.1409335	0.041072761	-0.000059918157	0.011957803
BR3.DHZ5L4-BR3.UES5L3	44.738	3.4140845	0.030851185	-0.39072288	0.011178546
BR3.DHZ5L4-BR3.UES6L3	54.555	2.9966778	0.047038625	-0.047139675	0.016126251
BR3.DHZ5L4-BR3.UES7L3	64.373	-2.2655183	0.044887351	0.31918651	0.016714525
BR3.DHZ5L4-BR3.UES8L3	74.19	-2.4853928	0.02917115	0.044964397	0.0067085481
BR3.DHZ5L4-BR3.UES9L3	84.008	2.8507607	0.042621896	-0.34507396	0.018577425
BR3.DHZ5L4-BR3.UES10L3	93.825	2.1296135	0.16333989	0.0049200141	0.023997099
BR3.DHZ5L4-BR3.UES11L3	103.643	-2.9958617	0.	0.30679351	0.014829164
BR3.DHZ5L4-BR3.UES12L3	113.46	-1.3799406	0.08971759	0.032377847	0.0095397414
BR3.DHZ5L4-BR3.UES13L3	123.278	3.4431607	0.035094851	-0.30073839	0.0075195361
BR3.DHZ5L4-BR3.UES14L3	133.095	0.82671893	0.055408407	-0.010295675	0.0088669065
BR3.DHZ5L4-BR3.UES15L3	142.913	-3.5228569	0.06794465	0.32895851	0.010078751
BR3.DHZ5L4-BR3.UES16L3	152.73	-0.1658771	0.029111968	0.012325039	0.0091333663
BR3.DHZ6L4-BR3.UES1L3	5.467	-0.30266258	0.14006905	0.16249538	0.02501309
BR3.DHZ6L4-BR3.UES2L3	15.285	3.7688311	0.14216167	-0.052409501	0.052290256
BR3.DHZ6L4-BR3.UES3L3	25.103	-0.4110896	0.11734174	-0.007285255	0.021102954
BR3.DHZ6L4-BR3.UES4L3	34.92	-4.0428238	0.12297651	0.068022233	0.058914465
BR3.DHZ6L4-BR3.UES5L3	44.738	1.0276767	0.18001897	0.0070926827	0.025274287
BR3.DHZ6L4-BR3.UES6L3	54.555	3.7305103	0.17083349	-0.068898465	0.048508864
BR3.DHZ6L4-BR3.UES7L3	64.373	3.2677761	0.16278567	-0.12641026	0.050534688
BR3.DHZ6L4-BR3.UES8L3	74.19	-2.5376864	0.11750627	-0.059060454	0.033557171
BR3.DHZ6L4-BR3.UES9L3	84.008	-2.8379293	0.13977332	0.10348497	0.0300431
BR3.DHZ6L4-BR3.UES10L3	93.825	1.6327816	0.	0.030963018	0.0394557
BR3.DHZ6L4-BR3.UES11L3	103.643	2.3141189	0.18926429	-0.20090913	0.048674199
BR3.DHZ6L4-BR3.UES12L3	113.46	-3.5085635	0.13644686	-0.072015382	0.04063276
BR3.DHZ6L4-BR3.UES13L3	123.278	-1.6567807	0.14785802	0.23095316	0.037679334
BR3.DHZ6L4-BR3.UES14L3	133.095	3.5751983	0.21161986	0.035211614	0.038835955
BR3.DHZ6L4-BR3.UES15L3	142.913	0.97772307	0.13911072	-0.092367591	0.035673533
BR3.DHZ6L4-BR3.UES16L3	152.73	-3.8456661	0.10100816	-0.0028530282	0.046123164
BR3.DHZ8L1-BR3.UES1L3	5.467	-2.720433	0.040177662	0.24555256	0.014156394
BR3.DHZ8L1-BR3.UES2L3	15.285	-2.1548052	0.038756741	-0.035937215	0.0079657156
BR3.DHZ8L1-BR3.UES3L3	25.103	3.3318881	0.038585376	-0.35300989	0.0099033831
BR3.DHZ8L1-BR3.UES4L3	34.92	1.7933736	0.041600178	-0.00060805038	0.01158859
BR3.DHZ8L1-BR3.UES5L3	44.738	-3.4589166	0.05012957	0.34207516	0.0060593744
BR3.DHZ8L1-BR3.UES6L3	54.555	-1.0781716	0.046877615	-0.03656986	0.011030586
BR3.DHZ8L1-BR3.UES7L3	64.373	3.5942657	0.039686376	-0.31121615	0.027054734
BR3.DHZ8L1-BR3.UES8L3	74.19	3.7532986	0.03164793	-0.038444063	0.0077581845
BR3.DHZ8L1-BR3.UES9L3	84.008	-0.40752532	0.042440455	0.25058289	0.0065384571
BR3.DHZ8L1-BR3.UES10L3	93.825	-3.1022444	0.	-0.013012686	0.013690315
BR3.DHZ8L1-BR3.UES11L3	103.643	1.1170098	0.075301933	-0.18746271	0.021746655
BR3.DHZ8L1-BR3.UES12L3	113.46	3.4814686	0.09559973	0.0089188631	0.011239094
BR3.DHZ8L1-BR3.UES13L3	123.278	-1.6792509	0.04720444	0.15207078	0.013809818
BR3.DHZ8L1-BR3.UES14L3	133.095	-3.0377906	0.051849501	-0.015668762	0.0088001944
BR3.DHZ8L1-BR3.UES15L3	142.913	2.2963409	0.040967379	-0.26571859	0.01553467
BR3.DHZ8L1-BR3.UES16L3	152.73	2.7264311	0.035475181	0.015480823	0.011724079
BR3.DHZ9L1-BR3.UES1L3	5.467	2.5611934	0.04044522	-0.27097746	0.007973784
BR3.DHZ9L1-BR3.UES2L3	15.285	-2.838751	0.056189217	0.0084157852	0.0043782512
BR3.DHZ9L1-BR3.UES3L3	25.103	-2.1204008	0.040283216	0.17011019	0.009257848
BR3.DHZ9L1-BR3.UES4L3	34.92	3.5036904	0.	0.027354018	0.013312906
BR3.DHZ9L1-BR3.UES5L3	44.738	1.4998917	0.041828007	-0.19956549	0.0081446714
BR3.DHZ9L1-BR3.UES6L3	54.555	-3.6356596	0.075334719	0.0041140826	0.0073811441
BR3.DHZ9L1-BR3.UES7L3	64.373	-0.76590412	0.043952515	0.23919144	0.010245617
BR3.DHZ9L1-BR3.UES8L3	74.19	3.7710236	0.027774498	-0.068396536	0.021214342
BR3.DHZ9L1-BR3.UES9L3	84.008	3.7938643	0.033547234	-0.24302853	0.0068079728
BR3.DHZ9L1-BR3.UES10L3	93.825	-0.43121355	0.	0.02773123	0.016911063
BR3.DHZ9L1-BR3.UES11L3	103.643	-3.4651751	0.	0.23367082	0.0065482988
BR3.DHZ9L1-BR3.UES12L3	113.46	1.4861277	0.045277591	0.024973605	0.011835529
BR3.DHZ9L1-BR3.UES13L3	123.278	3.3602177	0.04212376	-0.2702754	0.0042227832
BR3.DHZ9L1-BR3.UES14L3	133.095	-1.901022	0.	-0.013581643	0.013132834
BR3.DHZ9L1-BR3.UES15L3	142.913	-2.9710181	0.044926434	0.18688036	0.0083337878
BR3.DHZ9L1-BR3.UES16L3	152.73	2.532008	0.026747273	0.019633008	0.015923728
BR3.DHZ11L4-BR3.UES1L3	5.467	-3.4169409	0.14446313	0.33680433	0.033880223
BR3.DHZ11L4-BR3.UES2L3	15.285	-1.600787	0.16207704	-0.073968468	0.046978989
BR3.DHZ11L4-BR3.UES3L3	25.103	3.9219054	0.11607986	-0.39916529	0.040751778
BR3.DHZ11L4-BR3.UES4L3	34.92	1.0569147	0.12766521	0.039635654	0.062973363
BR3.DHZ11L4-BR3.UES5L3	44.738	-3.9280312	0.16452035	0.3848933	0.038437303
BR3.DHZ11L4-BR3.UES6L3	54.555	-0.30693741	0.16801737	-0.080128592	0.057824142
BR3.DHZ11L4-BR3.UES7L3	64.373	3.919186	0.12743871	-0.36954051	0.043154985
BR3.DHZ11L4-BR3.UES8L3	74.19	-0.38916307	0.10926352	0.03967924	0.030076243
BR3.DHZ11L4-BR3.UES9L3	84.008	-3.9076748	0.13513316	0.35792668	0.023433261
BR3.DHZ11L4-BR3.UES10L3	93.825	0.011444441	0.	-0.099062452	0.047046914
BR3.DHZ11L4-BR3.UES11L3	103.643	3.7651835	0.13636759	-0.35473904	0.04680224
BR3.DHZ11L4-BR3.UES12L3	113.46	3.3314315	0.13393193	0.0010438744	0.046625333
BR3.DHZ11L4-BR3.UES13L3	123.278	-2.5627299	0.18694694	0.25914208	0.040647128
BR3.DHZ11L4-BR3.UES14L3	133.095	-2.7419717	0.15014892	-0.032539081	0.041791905
BR3.DHZ11L4-BR3.UES15L3	142.913	3.0620446	0.12136698	-0.35814753	0.029392241
BR3.DHZ11L4-BR3.UES16L3	152.73	2.2663131	0.10292881	0.034520058	0.039910846
BR3.DHZ12L4-BR3.UES1L3	5.467	2.300186	0.14495797	-0.12709868	0.021923243
BR3.DHZ12L4-BR3.UES2L3	15.285	-3.210346	0.16691595	0.042603622	0.043090788
BR3.DHZ12L4-BR3.UES3L3	25.103	-1.7562263	0.14154337	-0.0078819794	0.029516188
BR3.DHZ12L4-BR3.UES4L3	34.92	3.8764456	0.11885949	0.033909877	0.053646077
BR3.DHZ12L4-BR3.UES5L3	44.738	1.1414092	0.14406351	-0.041879064	0.046536782
BR3.DHZ12L4-BR3.UES6L3	54.555	-3.9054584	0.18905962	-0.050229493	0.030960338
BR3.DHZ12L4-BR3.UES7L3	64.373	-0.30570467	0.14036601	0.092382042	0.058477298
BR3.DHZ12L4-BR3.UES8L3	74.19	3.9836021	0.11756752	0.015575455	0.018069902
BR3.DHZ12L4-BR3.UES9L3	84.008	-0.39240008	0.13392731	-0.081600805	0.047657726
BR3.DHZ12L4-BR3.UES10L3	93.825	-2.9429624	0.	0.033368298	0.048902372
BR3.DHZ12L4-BR3.UES11L3	103.643	1.1743085	0.12240461	0.11545247	0.071143002
BR3.DHZ12L4-BR3.UES12L3	113.46	3.7602651	0.1344445	-0.15234948	0.051617334
BR3.DHZ12L4-BR3.UES13L3	123.278	3.1790145	0.20333087	-0.18289365	0.021243487
BR3.DHZ12L4-BR3.UES14L3	133.095	-2.4215021	0.1507167	0.096101255	0.053662581
BR3.DHZ12L4-BR3.UES15L3	142.913	-2.7824337	0.11858489	0.065586737	0.035698174
BR3.DHZ12L4-BR3.UES16L3	152.73	2.9895778	0.085713774	-0.061110636	0.031579078
BR3.DHZ13L4-BR3.UES1L3	5.467	2.7767331	0.037746179	-0.32626093	0.0070854494
BR3.DHZ13L4-BR3.UES2L3	15.285	2.0362043	0.037433637	0.072946345	0.0070209527
BR3.DHZ13L4-BR3.UES3L3	25.103	-3.2381117	0.060870716	0.41266375	0.0096586795
BR3.DHZ13L4-BR3.UES4L3	34.92	-1.5799131	0.	-0.058327429	0.0108911
BR3.DHZ13L4-BR3.UES5L3	44.738	3.471522	0.036133042	-0.38973408	0.015504669
BR3.DHZ13L4-BR3.UES6L3	54.555	0.96178575	0.046154703	0.11194861	0.01690195
BR3.DHZ13L4-BR3.UES7L3	64.373	-3.4767361	0.	0.33376723	0.
BR3.DHZ13L4-BR3.UES8L3	74.19	-0.25913145	0.037981874	-0.081799838	0.015303689
BR3.DHZ13L4-BR3.UES9L3	84.008	3.6693064	0.029977832	-0.31331085	0.0091244273
BR3.DHZ13L4-BR3.UES10L3	93.825	0.012905513	0.	0.12153486	0.016727656
BR3.DHZ13L4-BR3.UES11L3	103.643	-3.389121	0.	0.27034775	0.015409221
BR3.DHZ13L4-BR3.UES12L3	113.46	1.0650221	0.050858236	-0.076417111	0.018821791
BR3.DHZ13L4-BR3.UES13L3	123.278	3.3942052	0.03871929	-0.27155853	0.011324916
BR3.DHZ13L4-BR3.UES14L3	133.095	2.9393774	0.043508264	0.0078797345	0.012971852
BR3.DHZ13L4-BR3.UES15L3	142.913	-2.2567902	0.069224892	0.34372826	0.0081738066
BR3.DHZ13L4-BR3.UES16L3	152.73	-2.5168869	0.045396312	-0.024779096	0.0091467223
BR3.DHZ14L1-BR3.UES1L3	5.467	1.2593359	0.042823956	-0.21259602	0.0058036711
BR3.DHZ14L1-BR3.UES2L3	15.285	2.736683	0.046594427	0.032630635	0.009135015
BR3.DHZ14L1-BR3.UES3L3	25.103	-1.8053583	0.039746566	0.33253216	0.012516967
BR3.DHZ14L1-BR3.UES4L3	34.92	-2.6051665	0.03600015	-0.053806305	0.010283695
BR3.DHZ14L1-BR3.UES5L3	44.738	2.2012271	0.046683505	-0.28945569	0.015525418
BR3.DHZ14L1-BR3.UES6L3	54.555	2.1894937	0.050539556	0.10151508	0.013828633
BR3.DHZ14L1-BR3.UES7L3	64.373	-2.4937807	0.04706731	0.2282057	0.00697462
BR3.DHZ14L1-BR3.UES8L3	74.19	-1.6522333	0.034074105	-0.071127071	0.0082015269
BR3.DHZ14L1-BR3.UES9L3	84.008	2.9161377	0.04319947	-0.20883365	0.010192691
BR3.DHZ14L1-BR3.UES10L3	93.825	1.4816768	0.	0.088011081	0.016135598
BR3.DHZ14L1-BR3.UES11L3	103.643	-2.8958189	0.	0.15613102	0.022142881
BR3.DHZ14L1-BR3.UES12L3	113.46	-0.55069191	0.074714682	-0.010432904	0.0090538762
BR3.DHZ14L1-BR3.UES13L3	123.278	3.2061696	0.036303175	-0.15657208	0.011963689
BR3.DHZ14L1-BR3.UES14L3	133.095	3.1137139	0.04450279	-0.033522265	0.0059330298
BR3.DHZ14L1-BR3.UES15L3	142.913	-0.68522721	0.041757813	0.24349387	0.0055470665
