x[mm]	y[mm]	ampx_meas[mm]	ampy_meas[mm]	p2p_x[m]	p2p_y[m]
0.4	0.4	0.3896025	0.202527	0.000775627	0.000404655
0.4	0.6	0.3902335	0.288961	0.000782055	0.00057834
0.4	0.8	0.393043	0.374544	0.000787133	0.000749132
0.4	1.0	0.3973435	0.459535	0.000792817	0.000919964
0.4	1.2	0.4020155	0.5460755	0.000803816	0.001090074
0.4	1.4	0.40961	0.6303405	0.000821551	0.001260731
0.4	1.6	0.4218665	0.7138285	0.000848558	0.001430615
0.4	1.8	0.4430655	0.797635	0.000896831	0.001593807
0.4	2.0	0.4782555	0.88026	0.000960348	0.001764171
0.4	2.2	0.5224865	0.9636025	0.001060705	0.001929823
0.4	2.4	0.5946525	1.0475255	0.001183639	0.002094292
0.4	2.6	0.6778655	1.1317125	0.001359116	0.0022588
0.4	2.8	0.7810225	1.214624	0.001556183	0.002429175
0.4	3.0	0.8917115	1.297796	0.001780659	0.002588647
0.4	3.2	1.011724	1.3808705	0.002032194	0.002757237
0.4	3.4	1.1396255	1.457168	0.002275022	0.002913005
0.4	3.6	1.275423	1.5453635	0.002555154	0.00309052

0.6	0.4	0.5825635	0.2176195	0.001161215	0.000435277
0.6	0.6	0.5835975	0.3043425	0.0011621	0.000609288
0.6	0.8	0.5848605	0.391492	0.001170914	0.000781408
0.6	1.0	0.586726	0.4760065	0.001174294	0.000953759
0.6	1.2	0.5929205	0.5639895	0.0011798	0.001126564
0.6	1.4	0.597634	0.648151	0.001194105	0.001299908
0.6	1.6	0.603057	0.732088	0.001212094	0.001470553
0.6	1.8	0.621237	0.8198165	0.001244343	0.001632258
0.6	2.0	0.631089	0.9018175	0.001284046	0.001807465
0.6	2.2	0.676463	0.986159	0.001343199	0.001972601
0.6	2.4	0.716455	1.066775	0.001416498	0.00213049
0.6	2.6	0.767042	1.1489225	0.001545722	0.002299701
0.6	2.8	0.8391285	1.2317075	0.001680072	0.002464593
0.6	3.0	0.9217435	1.3137875	0.001847125	0.002623636
0.6	3.2	1.019385	1.3916035	0.002046366	0.002791592
0.6	3.4	1.1298015	1.473796	0.002255512	0.002940572
0.6	3.6	1.2536925	1.5566845	0.0025098	0.003113417

0.8	0.4	0.769671	0.231808	0.00154614	0.000463729
0.8	0.6	0.7728115	0.319588	0.001550342	0.00063923
0.8	0.8	0.777572	0.406225	0.001553357	0.000814582
0.8	1.0	0.7778065	0.4930265	0.001556538	0.000980652
0.8	1.2	0.777299	0.578977	0.001566913	0.00116138
0.8	1.4	0.784429	0.665664	0.001572882	0.001329298
0.8	1.6	0.79108	0.752328	0.001578476	0.001501807
0.8	1.8	0.809208	0.8406795	0.001609896	0.00168103
0.8	2.0	0.8292295	0.9262435	0.001659326	0.001848223
0.8	2.2	0.8354295	1.006967	0.001706282	0.00201798
0.8	2.4	0.872556	1.0928355	0.001758049	0.002185573
0.8	2.6	0.918494	1.1745365	0.001834868	0.0023495
0.8	2.8	0.968152	1.2561815	0.0019373	0.002512332
0.8	3.0	1.031871	1.3366845	0.002068697	0.002670307
0.8	3.2	1.1118755	1.4135865	0.002214442	0.002832631
0.8	3.4	1.1974915	1.4963325	0.002390118	0.002987197
0.8	3.6	1.2867965	1.570561	0.002600229	0.003154289

1.0	0.4	0.963813	0.2443845	0.001930348	0.000491625
1.0	0.6	0.962211	0.3318135	0.001928383	0.000663159
1.0	0.8	0.96083	0.4178555	0.001915396	0.000839285
1.0	1.0	0.9644285	0.505368	0.001937305	0.001014723
1.0	1.2	0.973451	0.5984705	0.001947486	0.001198757
1.0	1.4	0.978255	0.6881335	0.00196191	0.001376544
1.0	1.6	0.9859575	0.775673	0.001973478	0.001548752
1.0	1.8	0.9967125	0.863344	0.001990739	0.001723235
1.0	2.0	1.013218	0.949886	0.002026865	0.001897345
1.0	2.2	1.03623	1.0314335	0.002054107	0.002060115
1.0	2.4	1.0560295	1.1187195	0.002113784	0.002231012
1.0	2.6	1.091506	1.198667	0.00216373	0.002401127
1.0	2.8	1.127744	1.2803535	0.002263112	0.002562595
1.0	3.0	1.1829075	1.3621675	0.002363517	0.002727993
1.0	3.2	1.2347785	1.439264	0.00246447	0.002868909
1.0	3.4	1.3174795	1.523181	0.002632995	0.003040424
1.0	3.6	1.3949935	1.598157	0.00278464	0.003197897

1.2	0.4	1.1536075	0.255121	0.002311312	0.000512872
1.2	0.6	1.1557135	0.346167	0.002309605	0.000689312
1.2	0.8	1.157988	0.435837	0.002314762	0.000870979
1.2	1.0	1.1539815	0.525522	0.002309781	0.001049388
1.2	1.2	1.15881	0.615959	0.002318301	0.001233994
1.2	1.4	1.166115	0.7049125	0.002339388	0.00140829
1.2	1.6	1.173477	0.794553	0.002343615	0.001592247
1.2	1.8	1.1839455	0.883418	0.002373144	0.001764074
1.2	2.0	1.1924895	0.969644	0.002379515	0.001944494
1.2	2.2	1.2201415	1.060841	0.002437584	0.002115873
1.2	2.4	1.2396945	1.143188	0.002484976	0.002288333
1.2	2.6	1.2746885	1.226017	0.002531603	0.002451388
1.2	2.8	1.2906845	1.3102655	0.002618377	0.002611253
1.2	3.0	1.347736	1.3819	0.002708425	0.002784977
1.2	3.2	1.3992125	1.4716935	0.00278999	0.002943582
1.2	3.4	1.463373	1.5517555	0.002911608	0.003098243
1.2	3.6	1.52977	1.630083	0.003055033	0.003259408

1.4	0.4	1.342818	0.2695575	0.002691721	0.000539638
1.4	0.6	1.3471025	0.359917	0.002691117	0.000720209
1.4	0.8	1.3485555	0.4483045	0.002692715	0.00090058
1.4	1.0	1.3481865	0.539807	0.002699762	0.001082009
1.4	1.2	1.353282	0.6316485	0.002709401	0.001262887
1.4	1.4	1.354879	0.7234075	0.002709673	0.001447711
1.4	1.6	1.3601405	0.8134515	0.002707739	0.001621888
